"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0098542","defense response to other organism",940,0.464804628039932,1.30289921384581,0.00260837696028983,0.0220944871930433,0.0168474502582188,3005,"tags=16%, list=12%, signal=15%","AT2G45220/AT5G65530/AT3G53980/AT5G12870/AT3G22600/AT3G59930/AT2G37870/AT1G20850/AT5G39580/AT2G45180/AT4G18780/AT5G44030/AT3G01420/AT3G26830/AT5G64905/AT5G61890/AT3G23830/AT2G26560/AT5G39670/AT5G05960/AT2G22000/AT5G36925/AT1G20160/AT4G39950/AT1G66700/AT1G15010/AT5G03210/AT1G03850/AT3G43720/AT3G28910/AT1G64700/AT5G64570/AT2G38240/AT4G20970/AT5G09978/AT3G56400/AT5G64120/AT3G10930/AT1G12200/AT4G31500/AT2G37130/AT3G44220/AT3G14395/AT2G22330/AT1G72940/AT5G60890/AT1G74930/AT2G38870/AT2G46400/AT4G13850/AT1G05760/AT3G12500/AT1G22885/AT5G44585/AT1G70130/AT4G23810/AT1G06135/AT3G23550/AT1G27950/AT3G54560/AT3G48520/AT5G22570/AT3G11660/AT3G57860/AT1G44830/AT2G35980/AT5G24660/AT4G31800/AT1G53130/AT2G43510/AT4G12490/AT3G58350/AT3G25882/AT1G48630/AT3G54420/AT3G14310/AT2G23620/AT3G50260/AT3G49120/AT5G14180/AT2G40750/AT4G30650/AT5G64900/AT5G53730/AT5G50260/AT3G50930/AT3G10525/AT4G25890/AT3G56710/AT1G18570/AT5G44568/AT1G70170/AT5G52020/AT5G39610/AT5G46330/AT4G15330/AT5G01900/AT3G55970/AT1G71930/AT5G49520/AT1G14200/AT3G11250/AT5G61600/AT5G06720/AT1G45145/AT1G73260/AT3G04720/AT2G30750/AT5G42650/AT5G65040/AT5G61170/AT4G31870/AT2G27080/AT1G74100/AT1G55020/AT2G19810/AT3G09200/AT2G38470/AT5G40770/AT4G28460/AT1G52660/AT1G02450/AT5G56580/AT4G16260/AT1G52400/AT5G24770/AT3G15700/AT2G43120/AT5G13220/AT3G02080/AT3G53160/AT5G36970/AT5G11630/AT2G23810/AT1G31770/AT4G37290/AT2G22240/AT2G23560/AT4G37990/AT4G35160/AT5G24530/AT2G29460/AT1G76300/AT5G27420/AT3G22231/AT5G46870/AT4G34410/AT2G46240/AT1G48480/AT1G61580/AT2G35960/AT1G09750/AT3G23170/AT4G05220"
"GO:0009625","response to insect",37,0.755651116639729,1.86448913033774,0.00265907776721608,0.0224414475299115,0.0171120138557302,2526,"tags=41%, list=10%, signal=37%","AT4G19840/AT3G26830/AT4G39950/AT3G56400/AT4G31500/AT2G22330/AT2G44300/AT5G44585/AT1G07640/AT1G18570/AT5G44568/AT1G73260/AT5G65040/AT1G52400/AT5G24770"
"GO:0044042","glucan metabolic process",235,0.551898426848079,1.56209585989796,0.00269854735536429,0.0226914346962019,0.0173026336385056,2152,"tags=15%, list=8%, signal=14%","AT4G25820/AT3G23730/AT4G18780/AT5G17420/AT5G44030/AT4G30270/AT5G15630/AT4G28850/AT4G25810/AT2G18800/AT5G57530/AT4G30280/AT5G57560/AT1G65310/AT1G02730/AT5G48070/AT3G44990/AT5G57540/AT3G18660/AT5G13870/AT5G01360/AT5G06610/AT2G36870/AT4G03210/AT2G32620/AT3G14570/AT1G32900/AT2G32610/AT4G14130/AT4G17090/AT1G68560/AT4G15290/AT1G05610/AT5G49270/AT1G06490"
"GO:0000082","G1/S transition of mitotic cell cycle",39,0.739803762391933,1.82975588222261,0.00274071561415579,0.0229622137273271,0.0175091075981857,2381,"tags=33%, list=9%, signal=30%","AT5G06150/AT1G47210/AT3G11520/AT4G37490/AT1G76310/AT2G26760/AT1G76540/AT1G20610/AT1G20930/AT4G35620/AT1G44110/AT5G43080/AT2G17620"
"GO:0006880","intracellular sequestering of iron ion",10,0.886476712357737,1.82346807763994,0.00285458287083433,0.023743534059214,0.0181048786297644,455,"tags=30%, list=2%, signal=29%","AT3G25190/AT1G76800/AT1G21140"
"GO:0097577","sequestering of iron ion",10,0.886476712357737,1.82346807763994,0.00285458287083433,0.023743534059214,0.0181048786297644,455,"tags=30%, list=2%, signal=29%","AT3G25190/AT1G76800/AT1G21140"
"GO:0000741","karyogamy",29,0.763806279468895,1.8405935539453,0.00294541636542054,0.024123283785112,0.0183944447356323,1110,"tags=21%, list=4%, signal=20%","AT2G34790/AT2G20490/AT5G23420/AT4G13890/AT4G14040/AT2G34260"
"GO:0010197","polar nucleus fusion",29,0.763806279468895,1.8405935539453,0.00294541636542054,0.024123283785112,0.0183944447356323,1110,"tags=21%, list=4%, signal=20%","AT2G34790/AT2G20490/AT5G23420/AT4G13890/AT4G14040/AT2G34260"
"GO:1902532","negative regulation of intracellular signal transduction",22,-0.519802584989571,-1.83393037634483,0.00291577357081523,0.024123283785112,0.0183944447356323,7830,"tags=73%, list=30%, signal=51%","AT4G24580/AT2G26070/AT3G23610/AT1G04310/AT3G51770/AT2G40940/AT1G58250/AT5G10720/AT3G06110/AT3G04580/AT4G02680/AT3G54130/AT1G66340/AT5G03730/AT1G50640/AT2G25490"
"GO:1905897","regulation of response to endoplasmic reticulum stress",10,-0.671862112512906,-1.82543106807056,0.00292517630913864,0.024123283785112,0.0183944447356323,7103,"tags=80%, list=28%, signal=58%","AT5G65000/AT4G20310/AT3G21280/AT1G60995/AT3G54130/AT5G01960/AT1G51710/AT3G49530"
