"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.15338867035073e-42,2.08761335235342,0.597,0.24,2.97389734763232e-38,"protoxylem early","AT5G13050"
1.2645958897686e-42,1.53972976389989,0.78,0.401,3.26063404217936e-38,"protoxylem early","AT3G10410"
1.83393062811837e-42,1.81460079569217,0.694,0.311,4.72860673154042e-38,"protoxylem early","AT1G64060"
1.90488467764082e-42,3.32964340589418,0.22,0.035,4.9115546528291e-38,"protoxylem early","AT3G51930"
2.10485645616498e-42,1.88637100404703,0.349,0.077,5.42716188657579e-38,"protoxylem early","AT2G19810"
2.1980707437983e-42,1.61411405403867,0.817,0.485,5.66750560580953e-38,"protoxylem early","AT5G57330"
2.9550529106601e-42,1.82450228815996,0.688,0.315,7.61930842484601e-38,"protoxylem early","AT3G19460"
3.50448458610049e-42,1.01627385008224,1,0.848,9.0359630568015e-38,"protoxylem early","AT5G12140"
3.70532050833546e-42,1.0278456232108,0.952,0.77,9.55379839869215e-38,"protoxylem early","AT5G58060"
8.51852295057753e-42,1.21506894316069,0.914,0.58,2.19641595757691e-37,"protoxylem early","AT4G20870"
8.89333023606409e-42,2.56071633615753,0.387,0.102,2.29305626806676e-37,"protoxylem early","AT5G23730"
9.1967095580225e-42,1.56591511145927,0.349,0.079,2.37127959244052e-37,"protoxylem early","AT2G38480"
9.46568274800201e-42,1.56809678649047,0.769,0.39,2.44063163974484e-37,"protoxylem early","AT1G50630"
1.08954107924154e-41,1.83241138929513,0.866,0.572,2.80927271871638e-37,"protoxylem early","AT2G16710"
1.18964512742609e-41,2.27802283645131,0.296,0.059,3.06738099655544e-37,"protoxylem early","AT4G37080"
1.47002033635489e-41,2.50036279934773,0.613,0.251,3.79030043525745e-37,"protoxylem early","AT1G80110"
1.72279444877232e-41,1.68153379167314,0.753,0.408,4.44205320671456e-37,"protoxylem early","AT3G24350"
2.30720455715644e-41,2.78940339439552,0.156,0.018,5.94889623017216e-37,"protoxylem early","AT3G44290"
2.63952066195684e-41,1.30918048696926,0.903,0.6,6.80574007478951e-37,"protoxylem early","AT5G62690"
4.36264355489046e-41,1.51001064318587,0.871,0.585,1.12486401419296e-36,"protoxylem early","AT5G15350"
4.85364290862427e-41,1.56588935395527,0.806,0.471,1.25146328755968e-36,"protoxylem early","AT3G50360"
5.32782573726601e-41,2.02568052407598,0.382,0.098,1.37372658809667e-36,"protoxylem early","AT4G26890"
7.47940589073496e-41,1.69897718981852,0.726,0.365,1.9284900148671e-36,"protoxylem early","AT1G45688"
8.14429796600119e-41,1.85879465486108,0.435,0.117,2.09992578755375e-36,"protoxylem early","AT3G59680"
8.2745601091201e-41,3.36190326544596,0.108,0.009,2.13351257853553e-36,"protoxylem early","AT1G54200"
8.72153923794337e-41,1.33947641556044,0.704,0.283,2.24876167711132e-36,"protoxylem early","AT3G52920"
1.04919070562668e-40,1.39276155493922,0.833,0.478,2.70523331538784e-36,"protoxylem early","AT1G01230"
