"Gene_ID","Cahn_Methylation_status","Bewick_Classification","Both_gbM","Both_TE_like","H2AZ_Depleted","H2AZ_Enriched"
"AT1G01010",NA,"Unmethylated",NA,NA,NA,NA
"AT1G01020","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01030","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01040","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G01050","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01060","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01070","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01073",NA,"Unmethylated",NA,NA,NA,NA
"AT1G01080","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01090","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01100","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01110","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01115",NA,"Unmethylated",NA,NA,NA,NA
"AT1G01120","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01130","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01140","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01150","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01160","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01170","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01180",NA,"Unmethylated",NA,NA,NA,NA
"AT1G01190","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01200","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01210","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01220","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G01225","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01230","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01240","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01250","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01260","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01280","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01290","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01300","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01305","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01310","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01320","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G01335","Unmethylated",NA,NA,NA,NA,NA
"AT1G01340","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01350","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G01355","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01360","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01370","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01380","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01390","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01400","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01410","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01420","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01430","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01440","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G01450","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01453","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01460","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01470","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01471",NA,"Unmethylated",NA,NA,NA,NA
"AT1G01480","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01490","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01500","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01510","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01520","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01530","TE-like methylation","mCHH",FALSE,TRUE,NA,NA
"AT1G01540","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01550","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01560","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01570","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01580","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01590","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01600","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01610","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01620","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01630","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01640","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01650","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G01660","gbM","gbM",TRUE,FALSE,FALSE,TRUE
"AT1G01670","gbM","gbM",TRUE,FALSE,FALSE,TRUE
"AT1G01680","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01690","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01695","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01700","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01710","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G01715","Unmethylated",NA,NA,NA,NA,NA
"AT1G01720","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01725","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01730","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01740","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01750","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01760","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G01770","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G01780","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01790","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G01800","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01810","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01820","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01830","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01840","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01860","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01880","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01900","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G01910","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G01920","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01930","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01940","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01950","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G01960","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G01970","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G01980","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G01990","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02000","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02010","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G02020","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02030","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02040","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02050","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G02060","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02065","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02067","Unmethylated",NA,NA,NA,NA,NA
"AT1G02070","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02074",NA,"Unmethylated",NA,NA,NA,NA
"AT1G02080","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G02090","Unmethylated","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G02100","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G02110","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02120","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G02130","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02140","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02145","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G02150","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02160","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02170","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02180","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02190","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02205","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02210","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02220","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02230","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02250","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02260","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02270","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02280","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G02290","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G02300","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02305","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G02310","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02320","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02330","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02335","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02340","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02350","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02360","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02370","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02380","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02390","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02391",NA,"Unmethylated",NA,NA,NA,NA
"AT1G02400","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02405","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02410","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02420","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02430","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02440","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02450","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02460","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02470","TE-like methylation","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02475","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02490","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02500","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02510","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02520","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G02530","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02540","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02550","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02560","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G02570","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02575","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02580","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02590","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02610","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02620","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02630","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02640","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02650","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02660","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02670","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02680","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02690","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02700","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02705","Unmethylated",NA,NA,NA,NA,NA
"AT1G02710","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02720","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02730","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02740","TE-like methylation","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G02750","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02770","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02780","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02790","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02800","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02810","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02813","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02816","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02820","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02830","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02840","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G02850","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02860","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02870","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02880","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02890","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G02900","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02910","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G02920","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02930","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02940","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02950","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02960","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G02965","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G02970","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02980","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G02990","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03000","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03010","TE-like methylation","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G03020","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03022",NA,"Unmethylated",NA,NA,NA,NA
"AT1G03030","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03040","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G03050","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G03055","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03060","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03070","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03080","Unmethylated","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G03090","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03100","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G03103","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03106","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03110","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03120","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03130","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03140","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03150","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03160","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G03165","Unmethylated",NA,NA,NA,NA,NA
"AT1G03170","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03180","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03190","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03200","TE-like methylation","mCHH",FALSE,TRUE,NA,NA
"AT1G03210","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03220","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03230","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03240","TE-like methylation","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03250","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03260","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G03270","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03280","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03290","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G03300","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G03310","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G03320","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03325","Unmethylated",NA,NA,NA,NA,NA
"AT1G03330","TE-like methylation","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03340","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03350","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03360","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03365","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G03370","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03380","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03390","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03395","Unmethylated",NA,NA,NA,NA,NA
"AT1G03400","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03410","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G03430","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03440","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03445","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G03457","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03470","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03475","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03490","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03495","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03510","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03520","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03530","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G03540","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03550","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03560","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03590","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03600","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03610","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G03620","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03630","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03650","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03660","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03670","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03680","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03687","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03700","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03710","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03720","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03730","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03740","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03750","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G03760","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03770","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03780","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G03790","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03800","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03810","TE-like methylation","mCHH",FALSE,TRUE,NA,NA
"AT1G03820","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03830","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G03840","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G03850","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03860","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03870","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03880","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G03890","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03900","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03905","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03910","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03920","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G03930","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03940","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03950","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03960","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G03970","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03980","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03982","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G03990","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G04000","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04010","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G04020","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G04030","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G04040","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04050","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G04070","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04080","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G04090","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G04100","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04105","Unmethylated",NA,NA,NA,NA,NA
"AT1G04110","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G04120","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G04130","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04140","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G04150","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G04160","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G04170","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G04171",NA,"Unmethylated",NA,NA,NA,NA
"AT1G04180","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04190","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G04200","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G04210","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G04220","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04230","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04240","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04250","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G04260","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04270","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04280","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04290","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04300","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G04310","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G04330","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04340","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G04350","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04360","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04370","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04380","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04390","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G04400","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT1G04410","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT1G04420","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04430","gbM","gbM",TRUE,FALSE,FALSE,TRUE
"AT1G04440","gbM","gbM",TRUE,FALSE,NA,NA
"AT1G04445","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04450","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04455","Unmethylated",NA,NA,NA,NA,NA
"AT1G04470","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT1G04480","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04490","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT1G04500","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
