"Gene_ID","Cahn_Methylation_status","Bewick_Classification","Both_gbM","Both_TE_like","H2AZ_Depleted","H2AZ_Enriched"
"AT4G27620","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G27630","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G27640","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G27650","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G27652","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27654","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27657","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27660","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27670","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27680","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G27690","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G27700","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27710","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27720","gbM","gbM",TRUE,FALSE,FALSE,TRUE
"AT4G27730","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G27740","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27745","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27750","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27760","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27780","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27790","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27800","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27810","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27820","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G27830","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G27840","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27845","Unmethylated",NA,NA,NA,NA,NA
"AT4G27850","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G27860","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27870","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27880","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27890","TE-like methylation","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G27900","gbM","gbM",TRUE,FALSE,FALSE,TRUE
"AT4G27910","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G27920","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27930",NA,"mCHH",NA,NA,NA,NA
"AT4G27940","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27950","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27960","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27970","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27980","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G27990","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28000","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28005","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28010","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G28020","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G28025","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28030","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28040","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28050","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28060","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28068","TE-like methylation","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28070","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G28080","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G28085","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28088","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28090","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28100","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28110","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28130","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28140","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28150","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28160","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28170","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28180","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28181",NA,"Unmethylated",NA,NA,NA,NA
"AT4G28190","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28200","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28210","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28220","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G28230","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28240","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28250","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28260","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G28270","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28280","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28290","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28300","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G28310","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28320","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28330","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28340","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28350","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28360","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28365","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28370","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G28380","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G28390","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28395","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28397","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28400","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28405","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28410","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28420","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28430","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28440","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28450","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G28460","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28470","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G28480","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G28485","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28490","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28500","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28510","gbM","gbM",TRUE,FALSE,FALSE,TRUE
"AT4G28520","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28530","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28540","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G28550","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G28556","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28560","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28564",NA,"Unmethylated",NA,NA,NA,NA
"AT4G28570","TE-like methylation","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28580","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28590","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28600","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G28610","Unmethylated","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G28620","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28630","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28640","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28650","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28660","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28670","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28680","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28690","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G28700","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28703","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28706","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G28710","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G28720","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28730","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28740","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28750","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28755","Unmethylated",NA,NA,NA,NA,NA
"AT4G28760","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G28770","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28775","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28780","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28790","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28800","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28811","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28815","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28820","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G28830","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28840","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28850","TE-like methylation","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28860","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G28870","TE-like methylation","mCHH",FALSE,TRUE,NA,NA
"AT4G28880","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G28890","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28910","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G28920","TE-like methylation","gbM",FALSE,FALSE,NA,NA
"AT4G28930","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28940","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G28950","TE-like methylation","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28980","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G28990","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G29000","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G29010","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G29020","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29030","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29033","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29035","TE-like methylation","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29037","Unmethylated",NA,NA,NA,NA,NA
"AT4G29040","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G29050","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G29060","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G29070","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29080","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29090","TE-like methylation","mCHH",FALSE,TRUE,NA,NA
