"gene","variance.standardized","is_hvg","is_responsive","responsive_cell_type","responsive_avg_log2FC","median_within_celltype_cv2","num_celltypes_expressed","cahn_group","bewick_group","h2az_group"
"AT5G46710",1.85098083646264,TRUE,TRUE,"xpp ERS+",2.67367165847729,3.6910702675349,17,"Unmethylated","Unmethylated","Other"
"AT1G11070",1.84969554570878,TRUE,FALSE,NA,NA,NA,NA,"gbM","Unmethylated","H2A.Z-Enriched"
"AT1G13340",1.84919395207393,TRUE,TRUE,"ppp ERS+",4.43847014280599,4.08094101711067,2,"gbM","Unmethylated","Other"
"AT3G51540",1.84884526248094,TRUE,TRUE,"hair cells ERS+",4.95272405661435,6.52147044400638,1,"Unmethylated","Unmethylated","Other"
"AT3G63200",1.84816872226899,TRUE,TRUE,"epidermis early",2.12937746227995,5.18468916907679,11,"Unmethylated","Unmethylated","Other"
"AT1G08360",1.84727488510893,TRUE,TRUE,"epidermis early",2.65832790221944,1.37968394385047,29,"Unmethylated","Unmethylated","Other"
"AT5G48480",1.84710127399923,TRUE,TRUE,"metaphloem ERS+",2.08017716654891,4.03317621064939,14,"Unmethylated","Unmethylated","Other"
"AT2G47500",1.8455564682737,TRUE,TRUE,"protoxylem ERS-",3.63881721744793,2.99042468488686,17,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT2G27035",1.84548118103618,TRUE,TRUE,"protophloem ERS-",9.0668255381509,8.10389392241165,1,"Unmethylated","Unmethylated","Other"
"AT4G32605",1.84531955138416,TRUE,TRUE,"epidermis early",2.94239236829802,6.33955089727517,8,"Unmethylated","Unmethylated","Other"
"AT3G45280",1.84483823322533,TRUE,TRUE,"protoxylem ERS-",7.18059720935641,1.83287021001846,3,"Unmethylated","Unmethylated","Other"
"AT5G01740",1.84422619906584,TRUE,TRUE,"metaxylem ERS+",3.27470415271991,9.25176375159194,1,"Unmethylated","Unmethylated","Other"
"AT2G47530",1.84388602520193,TRUE,TRUE,"hair cells ERS-",6.11831783365774,5.71646969301512,2,"Unmethylated","Unmethylated","Other"
"AT5G57290",1.84350693654149,TRUE,TRUE,"epidermis early",2.32989180360391,1.05421466528262,29,"Unmethylated","Unmethylated","Other"
"AT5G13740",1.84320935891346,TRUE,TRUE,"ppp ERS+",3.16052350140648,3.44846817321453,15,"gbM","Unmethylated","H2A.Z-Enriched"
"AT5G22100",1.84307218676759,TRUE,TRUE,"epidermis early",3.10762736914578,10.933303762911,7,"gbM","Unmethylated","Other"
"AT3G19508",1.84232626474651,TRUE,TRUE,"epidermis early",3.00177664053,4.21150249899497,8,"Unmethylated","Unmethylated","Other"
"AT4G29930",1.8421581123016,TRUE,TRUE,"endodermis ERS+",2.12766450288275,11.0697356489473,6,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT5G25810",1.84214601466828,TRUE,TRUE,"cortex ERS+",2.95313981137282,11.3765982795943,3,"Unmethylated","Unmethylated","Other"
"AT4G18440",1.84163896353677,TRUE,TRUE,"metaphloem ERS+",3.59522864282718,12.8092721209076,7,"gbM","Unmethylated","Other"
"AT1G02450",1.84162881558344,TRUE,TRUE,"protoxylem ERS+",1.60122901199663,11.7190218144013,6,"Unmethylated","Unmethylated","Other"
"AT5G51780",1.84152015994595,TRUE,TRUE,"ppp ERS-",2.3496688871715,2.56751558045307,20,"Unmethylated","Unmethylated","Other"
"AT1G66320",1.8412152580234,TRUE,FALSE,NA,NA,NA,NA,"TE-like","Unmethylated","Other"
"AT4G03100",1.84110852509792,TRUE,FALSE,NA,NA,NA,NA,"gbM","Unmethylated","Other"
"AT1G14440",1.8406522358154,TRUE,TRUE,"protoxylem early",9.59705273247568,3.02659316052004,1,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT1G11475",1.84060936009187,TRUE,TRUE,"epidermis early",2.37001340445908,4.69620905384836,15,"Unmethylated","Unmethylated","Other"
"AT1G61450",1.8400912209175,TRUE,TRUE,"epidermis early",3.44042657651304,12.1390792395318,1,"Unmethylated","Unmethylated","Other"
"AT1G48720",1.83982870846494,TRUE,FALSE,NA,NA,NA,NA,"TE-like","Unmethylated","Other"
"AT2G01422",1.83968158091887,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA
"AT2G23130",1.83943479247904,TRUE,TRUE,"endodermis ERS+",3.38051522777965,13.1045696921953,1,"Unmethylated","Unmethylated","Other"
